date_time	delta	theta	low_alpha	high_alpha	low_beta	high_beta	low_gamma	mid_gamma	
attention
19.10.2017_3.29.39	1236142	296764	47530	22686	18223	17385	2029	331224	35
19.10.2017_3.29.40	964322	27346	4274	5511	12325	1281	726	87306	38
19.10.2017_3.29.41	908066	221417	52718	5396	6992	10654	1976	378069	40
19.10.2017_3.29.42	693989	18779	16413	3912	3066	4547	391	103904	40
19.10.2017_3.29.43	797589	373555	73895	15892	5104	30368	1266	504215	60
19.10.2017_3.29.44	254531	39697	21407	3503	3900	6005	570	118490	63
19.10.2017_3.29.45	533752	56091	7820	2985	2962	6484	208	128531	75
19.10.2017_3.29.46	473260	125336	43811	14665	6870	16853	1238	485920	84
19.10.2017_3.29.47	187731	2342	683	1631	464	553	96	28052	83
19.10.2017_3.29.48	727647	66324	11665	16226	775	2866	874	126934	90
19.10.2017_3.29.49	1136141	16822	12853	1688	1286	3394	584	104209	78
19.10.2017_3.29.50	1097461	17994	10618	7870	2172	3327	752	98209	80
19.10.2017_3.29.51	609330	37327	2429	13640	3887	3056	325	96373	78
19.10.2017_3.29.52	838130	66293	5327	5214	4262	3388	605	84629	69
19.10.2017_3.29.53	809028	205734	23301	13076	21941	7868	1357	314675	74
19.10.2017_3.29.54	564360	211673	38233	9957	12635	11683	1032	324951	60
19.10.2017_3.29.55	1687543	116737	27669	11573	28124	5869	1138	310545	51
19.10.2017_3.29.56	862649	360807	28263	32383	41119	14166	6964	1359889	48
19.10.2017_3.29.57	2505443	213694	45056	17680	22920	27755	5225	800530	44
19.10.2017_3.29.58	78208	11429	1034	2876	2906	746	201	60001	56
19.10.2017_3.29.59	1528159	499564	43526	56760	32522	19569	7826	887233	57
19.10.2017_3.30.0	1598912	63013	3677	21691	19894	5934	1263	230536	56
19.10.2017_3.30.1	1003226	63165	16405	7784	7774	4432	2016	251975	64
19.10.2017_3.30.2	225792	14179	1164	1231	2493	1789	163	63201	56
19.10.2017_3.30.3	717578	70486	18470	7001	15486	2760	822	242027	64
19.10.2017_3.30.4	1006496	50851	10461	53737	22359	6299	3218	234249	64
19.10.2017_3.30.5	1518930	317500	11653	25191	59842	17340	5664	846770	61
19.10.2017_3.30.6	283886	69740	8090	12336	2234	5866	1798	204862	61
19.10.2017_3.30.7	843440	18520	2087	12622	5172	2262	863	213237	56
19.10.2017_3.30.8	495825	106868	18387	8777	11430	4125	783	242747	64
19.10.2017_3.30.9	170006	332234	150644	31448	12473	4366	5057	1057510	57
19.10.2017_3.30.10	1498859	618884	24920	50502	21820	15665	8600	1008033	35
19.10.2017_3.30.11	874041	148384	9148	16255	5682	11812	1264	253259	23
19.10.2017_3.30.12	235913	220065	14447	11673	20257	12496	1894	248411	23
19.10.2017_3.30.13	699321	110696	9847	12706	7694	3479	1201	233658	27
19.10.2017_3.30.14	480905	216255	43890	6168	19579	4798	892	235499	40
19.10.2017_3.30.15	722665	26738	11093	12647	2465	2855	642	67547	37
19.10.2017_3.30.16	748395	18042	15308	2667	1442	4467	1748	123724	34
19.10.2017_3.30.17	599177	79045	10057	28869	8593	14099	12126	294149	44
19.10.2017_3.30.18	806941	100800	6588	9439	8265	12363	5210	242739	64
19.10.2017_3.30.19	220048	67439	13328	57877	18122	7700	6303	263920	87
19.10.2017_3.30.20	331096	69289	5333	3001	5505	4632	2971	93763	87
19.10.2017_3.30.21	265932	74540	8955	5191	8558	8133	11143	233531	78
19.10.2017_3.30.22	322610	212154	13841	6696	5270	4266	1561	160379	77
19.10.2017_3.30.23	1387499	163700	23812	29068	19837	16420	15426	855815	54
19.10.2017_3.30.24	1277341	104757	3447	13623	6792	9823	1396	178328	60
19.10.2017_3.30.25	758993	142531	25766	28218	13528	28075	4711	765806	61
19.10.2017_3.30.26	570507	63934	19739	3631	5900	3505	2989	224607	67
19.10.2017_3.30.27	1789380	470904	75287	228693	48554	23427	7031	857804	77
19.10.2017_3.30.28	1188866	611844	42155	38892	30157	10617	9229	782087	64
19.10.2017_3.30.29	509939	45897	16645	10558	4775	3693	1939	179212	47
19.10.2017_3.30.30	31738	180592	12447	2895	15335	3836	2402	195263	34
19.10.2017_3.30.31	648204	28003	11614	1233	4977	2637	1273	226858	24
19.10.2017_3.30.32	1841085	220575	43036	43330	17860	2907	4908	938543	35
19.10.2017_3.30.33	171396	62638	13196	10249	4536	3411	2416	200112	27
19.10.2017_3.30.34	541796	17667	7473	8690	3479	4382	2027	198446	24
19.10.2017_3.30.35	86341	18890	7604	36128	21070	18040	3637	743530	47
19.10.2017_3.30.36	232278	648088	53924	5536	58310	12064	9089	746219	63
19.10.2017_3.30.37	105881	89913	12207	11210	4172	2680	1008	170698	69
19.10.2017_3.30.38	717919	39082	10918	26470	21253	8225	5759	671190	63
19.10.2017_3.30.39	23770	28726	12113	13002	33456	6775	3978	735390	61
19.10.2017_3.30.40	573864	52000	11677	9173	3963	3695	7832	679139	53
19.10.2017_3.30.41	946361	15469	5771	23033	17761	10156	4632	717524	67
19.10.2017_3.30.42	18758	4442	6665	12484	6176	9699	4792	695941	94
19.10.2017_3.30.43	1351937	674300	222566	33915	11026	7621	6349	652423	100
19.10.2017_3.30.44	843706	115075	18712	28543	25935	10338	8395	41044	70
19.10.2017_3.30.45	658839	344191	79824	54780	5610	22397	6870	2860	69
19.10.2017_3.30.46	111141	8100	3828	2441	1751	1500	572	14169	48
19.10.2017_3.30.47	796467	54863	6746	6452	6509	6336	2549	9263	34
19.10.2017_3.30.48	1807131	363199	178559	107155	95332	69300	10774	1147298	57
19.10.2017_3.30.49	770918	43975	7068	4060	9484	5423	2146	92813	63
19.10.2017_3.30.50	932902	681266	143369	8332	15459	31721	18721	14498	70
19.10.2017_3.30.51	374308	62283	6719	3160	3196	2274	3576	10181	61
19.10.2017_3.30.52	1539563	163450	94655	74802	15387	43200	20162	23135	51
19.10.2017_3.30.53	541719	71963	23666	22056	17223	24198	12614	20751	51
19.10.2017_3.30.54	2477897	51036	2085	9173	2712	4976	2062	4008	60
19.10.2017_3.30.55	56083	38850	17908	3350	9417	3281	1920	23167	64
19.10.2017_3.30.56	191132	18895	29201	15402	15920	21772	4109	55583	70
19.10.2017_3.30.57	1043869	35520	49131	53140	10875	8776	10601	64935	81
19.10.2017_3.30.57	148650	11060	2153	2445	2910	867	207	2599	69
19.10.2017_3.30.58	253494	98330	43072	4906	11480	13416	5253	51550	64
19.10.2017_3.30.59	157207	48405	10941	11658	6230	2996	1323	11760	70
19.10.2017_3.31.0	21695	103517	8033	6946	5878	8876	5471	65848	50
19.10.2017_3.31.1	122588	43968	3995	49085	9683	12385	7042	63602	51
19.10.2017_3.31.2	671162	367915	27037	24562	26509	9171	15423	21601	61
19.10.2017_3.31.3	698977	148652	5745	7675	5112	5066	1131	7289	47
19.10.2017_3.31.4	155465	55627	8384	12905	11000	3376	1508	9701	43
19.10.2017_3.31.5	635424	26771	9268	1788	5483	3838	1197	21605	38
19.10.2017_3.31.6	235240	90116	15376	24587	20914	12567	10246	125215	35
19.10.2017_3.31.7	139615	37248	7619	6816	1969	3378	1362	45244	50
19.10.2017_3.31.8	113088	30011	31856	3114	17973	6932	4024	149541	57
19.10.2017_3.31.9	502461	387936	70856	9776	22780	15703	5916	140367	67
19.10.2017_3.31.10	31949	29051	16386	11853	2265	9415	8811	165702	56
19.10.2017_3.31.11	275569	130224	16417	39467	13743	8606	6035	103462	63
19.10.2017_3.31.12	1435335	186356	40759	6691	12090	10140	9596	106119	60
19.10.2017_3.31.13	50629	23551	943	3522	3058	2205	2025	30457	50
19.10.2017_3.31.14	272184	504498	67941	35890	6641	8790	5524	168845	57
19.10.2017_3.31.15	65227	146601	20716	50469	10884	10660	5795	170401	30
19.10.2017_3.31.16	177964	315793	4611	11060	32094	7195	5375	156885	30
